CLUSTER,CLUSTER_LATITUDE,CLUSTER_LONGITUDE,NUMBER_OF_CUSTOMERS_IN_A_CLUSTER,ITERATION,Key,NUMBER_OF_CLUSTERS
0,50.23896880952382,4.036618190222222,63,0,0,3
1,49.979282698412696,4.043231812460318,63,0,0,3
2,50.311319193548385,4.28107407916129,62,0,0,3
0,50.494944000000004,3.2981125590200016,50,1,0,3
1,49.451759726027404,3.98677543519178,73,1,0,3
2,50.74347653846154,4.90026012856923,65,1,0,3
0,50.51362144230771,3.0400047608653855,52,2,0,3
1,49.411683571428576,4.127688939814284,70,2,0,3
2,50.720082878787885,4.961191965530303,66,2,0,3
0,50.50953519607843,2.9905047610588245,51,3,0,3
1,49.43013901408452,4.147925782225351,71,3,0,3
2,50.720082878787885,4.961191965530303,66,3,0,3
0,50.4967325,2.9732994384800002,50,4,0,3
1,49.43013901408452,4.147925782225351,71,4,0,3
2,50.72649462686568,4.94461851664179,67,4,0,3
0,50.4718335,2.95997762628,50,5,0,3
1,49.42524285714286,4.161546532857142,70,5,0,3
2,50.73077882352942,4.928676536220588,68,5,0,3
0,50.416070999999995,2.930221941960001,50,6,0,3
1,49.41703470588235,4.1940526571911745,68,6,0,3
2,50.74128178571429,4.8964352184285715,70,6,0,3
0,50.3866875,2.91326894138,50,7,0,3
1,49.422964485294116,4.223766403014705,68,7,0,3
2,50.756509642857154,4.879679722900001,70,7,0,3
0,50.3866875,2.91326894138,50,8,0,3
1,49.430634492753626,4.237698093144926,69,8,0,3
2,50.7681663768116,4.875254022913044,69,8,0,3
0,50.3866875,2.91326894138,50,9,0,3
1,49.437401071428575,4.255867294599999,70,9,0,3
2,50.78087036764706,4.865926255676471,68,9,0,3
0,50.351486,2.88700822504,50,10,0,3
1,49.44148014492754,4.282244489246375,69,10,0,3
2,50.782829057971014,4.849737131405797,69,10,0,3
0,50.32894843137255,2.878163799470588,51,11,0,3
1,49.459236785714296,4.342577334914284,70,11,0,3
2,50.80789089552239,4.831199639701492,67,11,0,3
0,50.29466433962265,2.8788870447735855,53,12,0,3
1,49.47704142857144,4.406035028657143,70,12,0,3
2,50.831408076923076,4.822364272276922,65,12,0,3
0,50.251755377358485,2.8625810047547176,53,13,0,3
1,49.491717857142866,4.440506436414284,70,13,0,3
2,50.850590000000004,4.798536911938461,65,13,0,3
0,50.223546818181816,2.8727947268363643,55,14,0,3
1,49.500515652173924,4.491947184246377,69,14,0,3
2,50.8628278125,4.7892043341875,64,14,0,3
0,50.17480564814815,2.8630845656851864,54,15,0,3
1,49.51151601449276,4.507274802202898,69,15,0,3
2,50.88180807692308,4.751517156584615,65,15,0,3
